epoch,step,train_acc,train_loss,val_acc,val_f1,val_loss,val_precision,val_recall
35,2483,,,0.8779841065406799,0.8767585754394531,0.6097841262817383,0.8804298043251038,0.8780573010444641
35,2483,0.9990829825401306,0.0074987877160310745,,,,,
36,2552,,,0.8779841065406799,0.8767585754394531,0.6068662405014038,0.8804298043251038,0.8780573010444641
36,2552,0.9995415210723877,0.005117375869303942,,,,,
37,2621,,,0.8779841065406799,0.8767585754394531,0.6070166230201721,0.8804298043251038,0.8780573010444641
37,2621,0.9986245036125183,0.007500304374843836,,,,,
38,2690,,,0.8779841065406799,0.8767585754394531,0.6092019081115723,0.8804298043251038,0.8780573010444641
38,2690,0.9990829825401306,0.0067066410556435585,,,,,
39,2759,,,0.8779841065406799,0.8767585754394531,0.6067957282066345,0.8804298043251038,0.8780573010444641
39,2759,0.9972489476203918,0.009159387089312077,,,,,
